years_after_2002,region,walk,walk_1_mile_plus,bicycle,car_driver,car_passenger,motorcycle,other_private_transport,bus_in_london,other_local_bus,non_local_bus,london_underground,surface_rail,taxi,other_public_transport,all_modes,all_modes_excl_short_walk,wnweighted_sample,year
7,Yorkshire and The Humber,322.0029819683506,181.5092488335819,60.85881854907092,5313.04661034319,3443.532139515122,64.4264966755437,233.45819200986,1.4532854191430904,561.9118114125159,43.6318731047607,10.471658156314275,634.9880769998251,95.59237949020029,24.24439551284488,10809.61871915675,10669.124986021974,5456.29,2009
7,East Midlands,319.1069145642261,177.58194361918046,63.498584039679116,6793.425307946805,3428.2019260393527,40.41183258142971,182.62629687652645,0.09833835670234096,399.33642024108485,65.34401357474252,11.761557403719467,376.72086165450645,70.82379243888398,10.308295000532727,11761.664140718174,11620.139169773143,4551.47,2009
7,West Midlands,276.53829977855196,150.2094383386818,41.780716984483114,5782.339842908226,2984.9380298312635,48.34466591900951,143.72639006257347,0.30267228333164853,429.78998918963214,137.71612757779465,5.402023048179724,458.02341142987837,101.5990293114596,16.638064879030175,10427.139263203433,10300.81040176355,5633.39,2009
7,East of England,280.5949584483727,153.43677113039737,72.8761873373574,6888.168493110987,3765.2338276663518,49.84620331603835,176.32660296953463,9.900288424693555,277.39584693598135,35.615315571313694,86.77963349917107,1134.951963854456,68.0481204738382,125.99729373987861,12971.734735347984,12844.576548030009,6114.780000000001,2009
7,London,380.8079024979232,172.85747233531504,97.60149307324565,2562.6500770464995,1831.2521579436211,41.54531048114221,113.42558849805042,835.3191511694454,11.85888280852409,87.3230518691049,792.265572956288,1150.9006377537837,87.9621967210089,129.5746662438207,8122.486689062456,7914.536258899854,7694.1900000000005,2009
7,South East,357.28153527602336,208.92271287435207,97.4584135046664,6287.5313533421995,3450.8829781001978,76.33141673906866,178.51923600637036,25.830781861864608,291.38176185815547,118.42734144800909,55.34942916350026,1270.602969926462,94.34747665676838,78.80424078380105,12382.748934667105,12234.39011226543,8634.43,2009
7,South West,326.4748138921707,192.56237957340755,93.08972983409264,6317.776495866735,3969.0235667892402,121.98078441237215,398.79561853273964,1.7854133630352558,320.373313051353,81.68568817816205,17.908604916195568,583.3628995341641,60.76695383570483,145.43590254530787,12438.45978475129,12304.547350432527,5432.14,2009
8,North East,314.02613673693276,180.55234870460956,52.67085394799696,5293.192560887811,3274.279559019381,6.064896386656742,243.7047852937016,1.6586238149073727,609.5794923071364,56.03286461328616,1.9617287980383733,491.86455928332015,130.60197895903866,166.33789734303582,10641.975937391238,10508.502149358916,2862.5800000000004,2010
8,North West,324.54030659479264,184.5204449932051,49.99295539336213,4820.153353012711,2752.217390902299,48.41341556687089,304.1247051032177,1.1111363225695365,461.2928206654185,67.4809868756875,6.013555626131904,561.483036676146,98.81773879063391,116.61213585402025,9612.253537383855,9472.233675782269,7423.71,2010
8,Yorkshire and The Humber,326.95555707931874,184.94757381146033,67.79272102291834,5258.168997407418,3399.889666253218,40.0761667198428,219.29244914888992,1.0384659143585864,499.9079807980431,81.5069466664525,8.797616147582735,699.472316704436,103.42489058404097,37.22010020824917,10743.543874654764,10601.535891386906,5372.570000000001,2010
8,East Midlands,289.8107050370784,162.07764649682844,52.40075189812529,6545.061911004774,3327.9129340340105,38.68898187905717,126.31382927915115,0.40469913962588994,381.5411495658303,87.09960514273959,7.451623822987009,328.44177556986745,67.93084702581305,39.97033702913935,11293.029150428203,11165.29609188795,4797.8,2010
8,West Midlands,272.18364012237254,146.75954716910286,46.310188536722904,5407.237123607339,3117.228461688657,41.868393078580624,186.09226553461474,0.808395223108265,423.0745646755695,99.8078175043844,13.793883598511442,571.41278383164,81.79819736511183,11.63212452650427,10273.24783929312,10147.823746339855,5731.6,2010
8,East of England,286.60631336708343,157.61756954611616,76.53738662127424,6725.970229206149,3448.0519925152003,60.75484556815568,215.16964375226473,13.471421768682966,253.29694257850542,62.803569481683255,96.98270277429431,1103.4463129409717,60.07215998901543,78.89709228636137,12482.060612849647,12353.071869028674,6195.280000000001,2010
8,London,376.2305949356886,160.4584036407596,93.65948746523705,2480.433906108109,1746.5136586970402,43.48669366649256,92.95753415918638,901.5643582050252,11.376228895033691,120.7554298557679,755.41410575286,1232.691323968409,89.3697237672315,127.33011002200307,8071.783155498073,7856.01096420315,8041.950000000001,2010
8,South East,348.0500177616867,194.20776761525212,89.59260035321267,6413.731034415623,3372.973757097532,76.34877666010419,167.12046653001582,26.371616420418153,283.8796091215618,111.31606009981388,66.55189768230747,1273.2885098328845,90.63966747694641,54.50645854511081,12374.370471997227,12220.528221850785,8769.67,2010
8,South West,323.5965947660099,196.35071966933117,109.43495307301092,6294.388284909584,3924.5817041921705,91.98830408980331,400.9216979566818,1.2166002715366873,341.93812502867803,73.6604268582233,15.168390310963796,504.3424506744039,56.10437371289298,159.6434026978533,12296.985308541822,12169.739433445131,5306.56,2010
9,North East,323.2189945003433,193.0577678599797,44.97005603690002,5553.590828888608,3035.968297747317,1.8471623513155857,300.29835443477356,1.2477180490735833,605.812628049273,45.38990581773695,2.133609120127768,515.2281084145523,118.22770214616145,201.1249575160474,10749.058323072226,10618.897096431861,2680.65,2011
9,North West,324.2111329111578,188.655291461806,59.35072397178125,4919.603479904114,2699.299087706852,33.08856747237255,222.96410105814613,1.221576333911234,464.15349089391253,76.34175461982043,5.418628028900388,546.4293770927545,111.83528134908947,86.63604436756533,9550.553245710393,9414.997404261028,7335.160000000001,2011
9,Yorkshire and The Humber,328.5931687244071,189.00184681617662,72.88734505909174,5435.884611942809,3406.2127641206635,33.36076020677137,171.4699113193596,1.3682927097892206,474.89408265577333,121.21131305629979,9.299304241929848,746.3540985514339,83.07418162610679,33.07002764861589,10917.67986186304,10778.088539954826,4754.33,2011
