year,local_authority_name,sum_cycles,change_cycles,mean_cycles,n_cycles,cycling_2011,multiplier
2011,Dorset,17830,1.123009610008716,28.928275613275613,55,1.123009610008716,1
2011,Dudley,9767,1.0488286596615721,29.981172839506172,36,1.0488286596615721,1
2011,Dumfries & Galloway,2181,0.7106794985299995,15.948958333333334,16,0.7106794985299995,1
2011,Dundee City,4828,0.8292085224849242,46.63976757369615,14,0.8292085224849242,1
2011,Durham,10753,1.145061120508847,20.690294041113713,61,1.145061120508847,1
2011,Ealing,35414,0.6592420982855353,107.94007936507937,25,0.6592420982855353,1
2011,East Ayrshire,665,0.7015808700988858,5.931709956709957,11,0.7015808700988858,1
2011,East Cheshire,15960,1.037426279600967,41.60217209690894,57,1.037426279600967,1
2011,East Dunbartonshire,1369,0.5306002870672692,17.486574074074074,6,0.5306002870672692,1
2011,East Lothian,1447,0.3378784583372252,12.31550925925926,12,0.3378784583372252,1
2011,East Renfrewshire,1348,0.5892177200046362,24.924444444444443,5,0.5892177200046362,1
2011,East Riding of Yorkshire,12946,0.9465250715705263,32.67635135135135,37,0.9465250715705263,1
2011,East Sussex,21755,1.0801997160794377,30.8770202020202,77,1.0801997160794377,1
2011,Enfield,12522,0.5626977770398538,53.237558356676004,17,0.5626977770398538,1
2011,Essex,64587,1.106739640179208,31.966137566137565,216,1.106739640179208,1
2011,Falkirk,2155,1.2787700818793704,23.34469696969697,11,1.2787700818793704,1
2011,Fife,6043,0.8121408625819072,18.583075396825397,40,0.8121408625819072,1
2011,Flintshire,7501,1.1786161050120674,29.3768315018315,26,1.1786161050120674,1
2011,Gateshead,14856,0.9440630713287435,42.30568783068783,42,0.9440630713287435,1
2011,Gloucestershire,30642,1.0383191296613281,58.79994474583082,79,1.0383191296613281,1
2011,Greenwich,31243,0.730499578739664,95.93019713261648,31,0.730499578739664,1
2011,Gwynedd,1739,1.2485375578145719,13.277777777777779,15,1.2485375578145719,1
2011,Hackney,173826,0.8317280627469471,722.1041083099907,17,0.8317280627469471,1
